Id,Name,Description,GarrTalentTreeId,Tier,UiOrder,IconFileDataId,PlayerConditionId,GarrAbilityId,Field_8_3_0_32044_009,Field_8_3_0_32044_010,PrerequisiteTalentId,ResearchCostSource
"39","嗜血","可以使用嗜血技能，每天派出的第一个任务的成功率提高${$a701}%。","31","0","1","136012","41962","578","0","0","0","0"
"40","复生","在所有任务中可以使用复生技能，成功完成任务有${$a772}%几率使一支消耗殆尽的部队恢复$m772点活力。","31","1","1","451167","41955","646","0","0","0","0"
"41","先祖恩赐","你的勇士在成功完成任务后有几率带回勇士武器或装备。","31","2","1","237574","41958","788","0","0","0","0"
"42","先祖传说","你可以装备的传说物品数量提高${$a898}。","31","5","0","237571","41961","0","0","0","0","0"
"43","元素知识","新招募的小型元素变为巨型元素，使其任务成功率提高${$a638-$a637}%。","31","3","0","893777","41959","0","0","0","0","0"
"44","大地的低语","新招募的唤地者萨满变为大地之环地卜师，获得：

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |Cffffffff熔岩风暴|R
$@garrabdesc583","31","3","1","451165","41959","0","0","0","0","0"
"46","升腾！","你可以招募升腾者。

升腾者可以随机使带有|C00b3ffff危害|R、|C00b3ffff法术|R或|C00b3ffff爪牙|R的任务成功率提高${$a650}%，此外升腾者还拥有：

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |Cffffffff升腾者之怒|R
$@garrabdesc531","31","4","1","132148","41960","0","0","0","0","0"
"49","幽魂步","你可以下达工作订单，用职业大厅资源交易获得每周3个破碎命运印记中的1个。","31","4","0","636335","41960","0","0","0","0","0"
"52","训练场","你的小型和巨型元素、唤地者和地卜师的招募上限提高${$a702}。","31","2","0","135776","41958","579","0","0","0","0"
"53","元素束缚","可以获得火焰领主、大地领主、风之领主和水之领主的帮助。每天会有一个随机的元素领主出现在你的职业大厅中，给你提供一个强大的战斗增益。","31","1","0","135988","41955","0","0","0","0","0"
"54","灵魂的召唤","使你非重复类的任务奖励额外升级为稀有或史诗品质的几率提高。","31","0","0","136014","41962","0","0","0","0","0"
"248","鸿运高照","使你非重复类的任务奖励额外升级为稀有或史诗品质的几率提高。","4","0","0","636335","41962","0","0","0","0","0"
"249","启迪","新招募的部队有几率提升一个等级，使其更为强大。

弟子有几率会变为高手，高手有几率变为大师。","4","1","1","648628","41955","0","0","0","0","0"
"250","玄牛之道","新招募的玄牛弟子变为玄牛高手，使其任务成功率提高${$a897-$a695}%。","4","3","0","620829","41959","0","0","0","0","0"
