Id,Description,InventoryTypeMask,ItemNameDescriptionId
"1","黄昏与黎明披肩","8","13697"
"2","Three-pronged Defender (DNT)","4","13588"
"15","Chilly Robe (DNT)","1048576","13586"
"17","惊恐对称之手","1024","13642"
"22","菌株浸染胸甲","32","13662"
"23","致命缠绕披风","65536","13663"
"24","畸兽斗披","65536","13665"
"26","吸血鬼胸甲","32","13668"
"27","赤红符文护手","1024","13669"
"28","绝对零度之链","4","13673"
"29","无尽之握腰带","64","13675"
"30","熔火天穹裹腕","512","13679"
"31","深结罩帽","2","13682"
"32","纪律严明之戒","2048","13684"
"33","拓展潜能束腰","64","13685"
"34","奥术和谐蕾丝裹布","1024","13691"
"35","时间之环","2048","13692"
"37","乌瑟尔的庇护","36","13695"
"38","疯狂圣贤的追求","256","13694"
"40","正义之怒圣印","2048","13704"
"42","无情审判官的披肩","65536","13709"
"43","复仇心切战靴","256","13713"
"44","雷霆之王踏靴","256","13716"
"45","迷狂乱舞护手","1024","13720"
"47","战争领主咒符","4","13722"
"48","裂地回响肩胄","8","13723"
"49","先祖裹腕","512","13724"
"50","深震腰带","64","13725"
"51","深根元素护肩","8","13726"
"52","碎天者的炽烈灭亡","1048608","13728"
"53","元素均衡护腿","128","13729"
"54","大分裂的回响","8","13730"
"55","风语者的熔岩崛起","256","13731"
"56","约纳特的自然专注护腿","128","13736"
"57","潮汐灵魂行者的披风","65536","13737"
"58","始源之潮护手","1024","13738"
"59","地谐披风","65536","13739"
"60","痛苦使者头盔","2","13742"
"61","荒野呼唤裹腕","512","13743"
"62","赫米特的陷阱腰带","64","13744"
"63","魂铸余烬护肩","8","13745"
"64","示弱战术项坠","4","13746"
"66","凶暴命令的铭刻之戒","2048","13747"
"67","火妖的眼镜蛇皮护腿","128","13748"
"68","艾瑞达战争肩铠","8","13749"
"69","飞龙追猎者大师披风","65536","13750"
"70","激涌射击护臂","512","13752"
"71","巨蛇追猎者的肩章","8","13753"
"72","无懈警戒裹腕","512","13754"
"73","飞龙追猎者的困惑护腿","128","13756"
"74","威尔弗雷德的超级召唤裹腕","512","13759"
"77","黑暗之门柱石","4","13762"
"78","阿兹亚基铭文长袍","1048608","13763"
"79","萨洛拉丝的黑暗打击者","128","13764"
"80","刺绣狂怒长靴","256","13766"
"81","恐角梦魇肩章","8","13769"
"82","阿兹亚基的燃烬护腿","128","13771"
"84","复活护腿","128","13666"
"87","半巨人面具","2","13776"
"90","末日领主之蹄","256","13779"
"99","恩德雷思的爪靴","256","13760"
"100","伊米亚高雅束带","64","13774"
"102","刺客大师徽记","2560","13790"
"105","影尘外衣","32","13793"
"106","淬毒之刃长靴","256","13791"
"110","暮行者的眼罩","32","13797"
"111","绿皮船长的柳枝","1024","13798"
"112","匪徒护身符","4","13799"
"114","狂猛迅疾指环","2048","13789"
"115","隐秘短枪","1024","13800"
"116","谢幕演出","65536","13801"
"117","阿卡丽的灵魂碎片","1024","13802"
"119","致命暗影","128","13804"
"126","恶魔协同视界","2","13761"
"127","佐迪克家族的步伐","256","13796"
"128","染血的末日之刃肩章","8","13795"
"130","血牙肩章","8","13792"
"131","腐化之欲","65536","13803"
"151","古怪的邪能护足","256","13781"
"158","邪火弹药带","32","13782"
"159","至暗时刻裹布","32","13778"
"161","黑眼勋章","4","13777"
"163","混沌轮回","64","13780"
"165","不灭护胸","32","13810"
"167","末日领主之蹄","256","13809"
"168","无穷邪焰指环","2048","13785"
"169","黑焰头巾","2","13783"
"170","炽热灵魂的莽撞之握","1024","13786"
"171","污染者的失落护腿","128","13784"
"172","黄昏与黎明之视","2","13697"
